Employee_ID,Name,Gender,Age,Department,Job_Role,Education,Experience,Salary,City,Joining_Date,Promotion,Satisfaction,Attrition
1019,Rahul Yadav,Male,23,Marketing,SEO Specialist,M.Com,3,59356,Pune,2024-07-08,No,1,No
1020,Rohan Yadav,Female,23,Finance,Financial Analyst,MBA,1,58709,Pune,2023-10-17,No,1,No
1021,Mohit Mehta,Female,26,Sales,Sales Executive,Graduate,6,64489,Kolkata,2015-07-25,Yes,5,Yes
1022,Pooja Joshi,Male,26,HR,HR Executive,B.Com,5,57249,Noida,2016-05-06,No,1,No
1023,Priya Patel,Female,47,Finance,Financial Analyst,MBA,18,103565,Bengaluru,2023-01-12,Yes,3,No
1024,Mohit Verma,Male,31,Finance,Financial Analyst,MBA,10,75152,Lucknow,2016-02-14,No,4,No
1025,Arjun Mehta,Male,32,HR,Recruiter,Graduate,7,57169,Mumbai,2018-05-24,No,2,Yes
1026,Kiran Gupta,Male,24,Sales,Sales Executive,B.Tech,3,56564,Kolkata,2021-10-13,No,2,Yes
1027,Arjun Patel,Male,28,Finance,Accountant,M.Com,8,71512,Kolkata,2018-09-28,Yes,4,No
1028,Deepak Gupta,Male,41,Operations,Operations Executive,M.Com,13,69658,Mumbai,2016-09-02,No,1,Yes
1029,Sonia Mehta,Female,34,HR,Recruiter,B.Com,9,58153,Mumbai,2016-02-26,Yes,3,No
1030,Sonia Verma,Female,27,IT,Analyst,MBA,5,79255,Noida,2018-09-22,No,1,Yes
1031,Priya Sharma,Male,28,Finance,Accountant,M.Com,1,56144,Lucknow,2018-06-04,No,2,No
1032,Amit Singh,Female,26,Sales,Sales Manager,MBA,2,50753,Chennai,2024-06-17,No,5,No
1033,Vikas Joshi,Female,22,Sales,Sales Executive,M.Com,1,52274,Chennai,2023-10-27,No,4,No
1034,Sneha Yadav,Male,28,IT,Developer,B.Tech,8,87144,Chennai,2023-04-28,No,1,No
1035,Kiran Patel,Female,27,Sales,Sales Executive,MBA,3,55808,Jaipur,2018-08-29,No,3,No
1036,Rohan Patel,Male,42,Operations,Operations Executive,M.Com,12,69851,Chennai,2024-05-07,Yes,5,No
1037,Arjun Singh,Male,45,Marketing,SEO Specialist,B.Com,20,100618,Chennai,2020-04-22,Yes,4,No
1038,Anjali Joshi,Male,25,Sales,Sales Executive,M.Com,2,50085,Jaipur,2015-07-09,No,2,No
1039,Nisha Singh,Male,41,Operations,Supervisor,MBA,18,88291,Mumbai,2022-09-17,Yes,4,No
1040,Sonia Roy,Male,43,Operations,Supervisor,M.Com,16,77822,Chennai,2020-02-13,No,5,No
1041,Rohan Verma,Female,42,Operations,Supervisor,B.Com,16,85976,Ahmedabad,2020-04-28,No,4,No
1042,Rahul Kumar,Male,31,Operations,Operations Executive,M.Com,7,61706,Mumbai,2021-01-21,Yes,1,No
1043,Deepak Yadav,Male,27,Operations,Supervisor,B.Com,6,58797,Delhi,2015-09-13,No,4,No
1044,Mohit Mehta,Female,39,Marketing,Marketing Executive,M.Com,12,73096,Pune,2024-05-16,Yes,3,No
1045,Deepak Roy,Male,40,Sales,Sales Executive,B.Com,13,72975,Kolkata,2019-07-15,No,4,No
1046,Rahul Sharma,Female,41,HR,Recruiter,M.Com,12,74246,Lucknow,2024-09-20,Yes,1,Yes
1047,Deepak Singh,Female,39,IT,Analyst,Graduate,14,100529,Kolkata,2019-09-23,No,4,No
1048,Priya Kumar,Male,34,HR,Recruiter,Graduate,11,63624,Chennai,2015-03-25,Yes,1,No
1049,Rohan Singh,Male,38,IT,QA Engineer,Graduate,14,101043,Bengaluru,2023-09-21,No,2,No
1050,Deepak Joshi,Female,38,Marketing,Marketing Executive,B.Com,12,76249,Delhi,2022-10-26,Yes,1,No
1051,Neha Yadav,Female,43,Sales,Sales Manager,M.Com,17,88571,Mumbai,2024-03-22,No,1,No
1052,Anjali Yadav,Female,33,Finance,Financial Analyst,B.Tech,5,66925,Pune,2021-01-13,No,5,No
1053,Anjali Gupta,Male,35,HR,HR Executive,M.Com,8,58995,Pune,2018-10-09,No,4,No
1054,Neha Verma,Male,33,Sales,Sales Manager,M.Com,8,64581,Kolkata,2015-02-11,Yes,5,No
1055,Kiran Verma,Female,45,IT,Analyst,B.Com,15,105541,Lucknow,2017-06-26,Yes,4,No
1056,Rohan Patel,Female,45,Finance,Financial Analyst,MBA,17,98132,Noida,2018-12-12,No,4,No
1057,Kiran Roy,Male,31,Operations,Supervisor,B.Com,6,53958,Kolkata,2017-02-23,No,5,No
1058,Rohan Sharma,Male,30,Marketing,Marketing Executive,B.Com,9,68680,Bengaluru,2015-02-27,Yes,3,No
1059,Anjali Gupta,Female,34,Operations,Operations Executive,Graduate,4,55042,Bengaluru,2020-04-06,No,1,No
1060,Rahul Kumar,Male,24,Finance,Financial Analyst,Graduate,3,64065,Pune,2022-01-22,No,4,Yes
1061,Anjali Roy,Female,43,HR,Recruiter,B.Com,17,87433,Jaipur,2020-11-10,Yes,5,No
1062,Arjun Verma,Male,47,Sales,Sales Manager,Graduate,18,85986,Mumbai,2023-07-22,Yes,5,No
1063,Rohan Sharma,Female,33,IT,Developer,B.Tech,5,73729,Bengaluru,2020-01-20,No,2,Yes
1064,Vikas Singh,Male,35,Operations,Operations Executive,MBA,14,75824,Bengaluru,2022-06-01,No,3,No
1065,Anjali Singh,Female,22,IT,Analyst,B.Tech,2,67718,Jaipur,2024-03-30,No,3,No
1066,Pooja Patel,Female,44,Sales,Sales Executive,Graduate,16,88090,Pune,2019-11-05,Yes,4,No
1067,Mohit Roy,Female,47,Operations,Supervisor,MBA,18,82339,Chennai,2016-12-18,No,3,No
1068,Deepak Kumar,Male,47,Finance,Financial Analyst,M.Com,20,101494,Ahmedabad,2022-07-07,Yes,4,No
1069,Deepak Mehta,Female,40,Sales,Sales Executive,B.Com,12,70601,Ahmedabad,2016-04-19,Yes,4,No
1070,Sonia Sharma,Female,24,Finance,Accountant,B.Tech,1,60994,Kolkata,2020-08-03,No,3,No
1071,Kiran Kumar,Male,36,IT,Analyst,B.Com,9,90441,Delhi,2023-12-18,No,1,Yes
1072,Anjali Patel,Male,34,Marketing,SEO Specialist,M.Com,13,79181,Ahmedabad,2024-05-01,Yes,1,Yes
1073,Deepak Singh,Male,34,Finance,Financial Analyst,M.Com,7,76531,Lucknow,2020-09-12,No,2,Yes
1074,Deepak Kumar,Female,28,Marketing,SEO Specialist,B.Com,8,67634,Ahmedabad,2022-05-27,No,3,No
1075,Pooja Yadav,Male,38,Sales,Sales Executive,M.Com,10,73903,Delhi,2017-02-11,Yes,4,No
1076,Deepak Singh,Female,41,Sales,Sales Manager,Graduate,15,83825,Kolkata,2020-08-19,Yes,2,Yes
1077,Sneha Joshi,Female,22,Finance,Financial Analyst,Graduate,0,56717,Lucknow,2023-10-07,No,2,Yes
1078,Arjun Patel,Male,43,Operations,Operations Executive,Graduate,17,84688,Jaipur,2015-10-08,Yes,4,No
1079,Rohan Gupta,Male,41,HR,Recruiter,M.Com,20,92269,Mumbai,2023-12-06,Yes,2,No
1080,Pooja Verma,Female,42,IT,Analyst,B.Com,16,109272,Mumbai,2024-10-06,Yes,2,Yes
1081,Nisha Patel,Female,44,IT,QA Engineer,B.Com,14,99161,Mumbai,2024-01-09,Yes,4,No
1082,Deepak Patel,Female,39,HR,HR Executive,M.Com,14,79626,Ahmedabad,2017-10-21,Yes,3,No
1083,Deepak Yadav,Male,33,HR,Recruiter,Graduate,7,61870,Chennai,2018-04-24,No,3,No
1084,Priya Verma,Female,30,Operations,Supervisor,MBA,1,47638,Noida,2017-07-31,No,3,No
1085,Nisha Patel,Male,40,Operations,Supervisor,M.Com,20,92061,Mumbai,2016-06-22,Yes,4,Yes
1086,Rohan Roy,Male,32,IT,Analyst,B.Tech,4,75994,Noida,2018-01-21,No,5,No
1087,Neha Yadav,Female,24,Finance,Accountant,B.Tech,2,58696,Kolkata,2024-01-09,No,4,No
1088,Arjun Verma,Male,39,HR,Recruiter,Graduate,14,74295,Chennai,2019-03-02,No,5,No
1089,Neha Kumar,Female,39,Marketing,Marketing Executive,Graduate,10,71626,Bengaluru,2022-04-13,No,1,No
1090,Arjun Mehta,Female,24,Finance,Financial Analyst,B.Com,3,61346,Mumbai,2020-02-02,No,5,No
1091,Priya Roy,Female,41,Finance,Financial Analyst,MBA,20,108017,Lucknow,2015-05-15,No,5,No
1092,Neha Verma,Female,39,HR,HR Executive,Graduate,11,68376,Lucknow,2016-05-15,Yes,1,Yes
1093,Deepak Verma,Male,33,IT,Analyst,MBA,4,73362,Chennai,2021-07-29,No,1,No
1094,Rahul Sharma,Male,30,HR,Recruiter,MBA,8,57129,Chennai,2022-05-31,Yes,5,No
1095,Kiran Singh,Male,22,Sales,Sales Manager,M.Com,0,44347,Lucknow,2019-09-21,No,1,Yes
1096,Anjali Sharma,Female,39,Marketing,Marketing Executive,M.Com,18,95405,Jaipur,2023-02-26,No,5,No
1097,Rahul Patel,Male,30,Finance,Financial Analyst,M.Com,3,64767,Chennai,2016-08-30,No,1,No
1098,Vikas Roy,Male,36,Marketing,Marketing Executive,M.Com,9,73782,Lucknow,2016-04-13,No,5,No
1099,Arjun Roy,Male,38,Finance,Accountant,Graduate,12,81557,Noida,2019-03-14,No,3,No
1100,Vikas Gupta,Male,34,HR,Recruiter,Graduate,13,73605,Bengaluru,2018-09-12,No,2,No
1101,Deepak Singh,Male,34,Marketing,SEO Specialist,B.Com,9,67197,Lucknow,2020-05-29,Yes,5,No
1102,Pooja Patel,Male,37,HR,HR Executive,MBA,8,58705,Bengaluru,2024-03-06,No,4,No
1103,Neha Kumar,Female,34,Operations,Operations Executive,Graduate,9,65251,Kolkata,2022-05-16,Yes,1,Yes
1104,Nisha Sharma,Male,38,IT,Developer,MBA,12,97432,Chennai,2018-08-21,Yes,3,No
1105,Rohan Verma,Female,26,HR,HR Executive,B.Tech,2,47259,Jaipur,2019-12-16,No,4,No
1106,Pooja Sharma,Female,39,HR,HR Executive,MBA,9,67217,Bengaluru,2017-06-22,Yes,4,No
1107,Rahul Kumar,Female,28,IT,Analyst,B.Com,4,74742,Pune,2020-07-30,No,3,No
1108,Anjali Singh,Male,47,Marketing,SEO Specialist,B.Com,17,91302,Jaipur,2019-11-22,No,1,Yes
1109,Sonia Joshi,Male,42,Marketing,SEO Specialist,B.Tech,12,79843,Noida,2018-08-23,Yes,3,No
1110,Deepak Patel,Female,26,Finance,Financial Analyst,MBA,3,64638,Lucknow,2015-11-19,No,5,No
1111,Sneha Kumar,Female,30,IT,Developer,Graduate,2,66868,Mumbai,2023-09-15,No,5,No
1112,Anjali Joshi,Female,28,Sales,Sales Manager,B.Com,6,64869,Chennai,2023-09-01,Yes,2,No
1113,Pooja Sharma,Female,45,Sales,Sales Manager,B.Com,20,92473,Noida,2018-05-25,Yes,4,Yes
1114,Pooja Joshi,Male,41,Sales,Sales Manager,M.Com,14,75616,Chennai,2022-03-25,Yes,1,Yes
1115,Amit Roy,Male,28,Marketing,Marketing Executive,B.Tech,1,54866,Noida,2020-05-02,No,2,Yes
1116,Sneha Gupta,Male,42,Marketing,SEO Specialist,M.Com,20,93641,Jaipur,2021-11-02,No,2,No
1117,Rohan Joshi,Female,39,Sales,Sales Executive,B.Tech,19,92982,Noida,2019-05-03,No,1,Yes
1118,Rohan Mehta,Male,29,Marketing,SEO Specialist,B.Tech,4,58082,Mumbai,2022-12-13,No,4,No
1119,Sneha Roy,Male,37,Operations,Operations Executive,MBA,16,83937,Mumbai,2017-01-08,Yes,5,No
1120,Arjun Gupta,Male,26,IT,QA Engineer,MBA,2,66657,Chennai,2024-05-13,No,5,No
1121,Amit Yadav,Female,26,Finance,Financial Analyst,MBA,4,62962,Ahmedabad,2016-11-09,No,5,No
1122,Nisha Verma,Female,36,Marketing,SEO Specialist,B.Com,9,69333,Ahmedabad,2023-10-18,No,5,No
1123,Deepak Patel,Male,35,Finance,Accountant,M.Com,9,80739,Lucknow,2017-03-28,Yes,5,No
1124,Anjali Mehta,Female,31,Marketing,Marketing Executive,M.Com,3,52542,Noida,2016-10-18,No,3,No
1125,Neha Gupta,Female,39,IT,Developer,Graduate,14,95436,Lucknow,2017-08-23,No,4,Yes
1126,Sonia Roy,Male,45,HR,Recruiter,B.Com,20,87392,Delhi,2020-04-19,No,2,Yes
1127,Neha Patel,Female,24,HR,HR Executive,B.Tech,0,38533,Noida,2020-12-01,No,2,No
1128,Arjun Mehta,Male,33,HR,HR Executive,MBA,7,59989,Bengaluru,2021-09-10,No,1,Yes
1129,Mohit Gupta,Male,29,Finance,Accountant,B.Com,0,55780,Kolkata,2022-06-30,No,2,No
1130,Rohan Sharma,Female,44,Marketing,SEO Specialist,Graduate,16,83333,Lucknow,2019-05-04,Yes,4,No
1131,Deepak Roy,Male,41,IT,QA Engineer,M.Com,20,119533,Mumbai,2018-10-18,Yes,3,No
1132,Nisha Sharma,Male,29,IT,Analyst,B.Tech,2,65605,Kolkata,2023-11-15,No,3,No
1133,Deepak Gupta,Male,44,Finance,Financial Analyst,Graduate,17,96650,Lucknow,2023-10-04,Yes,1,No
1134,Nisha Mehta,Female,39,Finance,Financial Analyst,Graduate,12,86334,Jaipur,2020-07-30,No,3,No
1135,Rohan Roy,Female,42,HR,Recruiter,MBA,13,70456,Ahmedabad,2018-09-05,Yes,5,No
1136,Neha Yadav,Male,34,Sales,Sales Manager,B.Com,14,80776,Mumbai,2023-11-16,Yes,5,No
1137,Sneha Yadav,Female,33,HR,HR Executive,B.Com,4,52179,Mumbai,2017-08-24,No,1,Yes
1138,Vikas Gupta,Female,39,Operations,Supervisor,MBA,14,78095,Noida,2020-12-08,No,4,No
1139,Sonia Patel,Female,32,HR,Recruiter,MBA,5,55982,Chennai,2016-04-27,No,4,No
1140,Sonia Gupta,Male,38,Sales,Sales Manager,Graduate,15,79509,Kolkata,2019-12-29,No,2,No
1141,Priya Roy,Male,33,Marketing,Marketing Executive,B.Tech,9,68080,Kolkata,2017-04-03,Yes,2,No
1142,Mohit Yadav,Female,38,Marketing,SEO Specialist,B.Com,11,79538,Noida,2023-01-15,Yes,2,No
1143,Sonia Kumar,Male,40,IT,Analyst,B.Com,10,86215,Delhi,2016-06-09,No,4,No
1144,Mohit Patel,Female,38,HR,HR Executive,B.Tech,16,79982,Pune,2017-07-12,No,2,Yes
1145,Pooja Joshi,Male,41,Operations,Operations Executive,MBA,17,81550,Chennai,2022-03-10,Yes,3,No
1146,Arjun Verma,Female,44,Operations,Supervisor,B.Com,19,93734,Delhi,2022-03-12,Yes,1,Yes
1147,Rohan Roy,Female,48,Finance,Accountant,Graduate,20,104745,Mumbai,2022-09-06,No,3,No
1148,Kiran Gupta,Female,40,Finance,Financial Analyst,MBA,13,90109,Lucknow,2024-08-29,Yes,2,Yes
1149,Neha Sharma,Male,38,Marketing,SEO Specialist,M.Com,17,90728,Chennai,2017-10-12,Yes,2,Yes
1150,Mohit Roy,Female,29,Finance,Financial Analyst,B.Tech,7,72864,Ahmedabad,2016-10-14,Yes,5,No
1151,Amit Sharma,Female,28,HR,Recruiter,M.Com,2,48281,Chennai,2017-05-31,No,4,No
1152,Sonia Yadav,Female,39,Operations,Supervisor,Graduate,15,83293,Jaipur,2023-02-27,No,1,No
1153,Sonia Mehta,Female,46,HR,Recruiter,B.Com,18,83189,Chennai,2020-08-27,Yes,3,No
1154,Sonia Kumar,Female,25,HR,HR Executive,B.Com,4,51453,Kolkata,2018-10-20,No,3,No
1155,Rahul Joshi,Female,36,Finance,Accountant,B.Tech,16,90742,Chennai,2020-04-24,Yes,1,Yes
1156,Kiran Joshi,Female,31,Sales,Sales Manager,M.Com,5,57402,Delhi,2024-04-15,No,5,No
1157,Pooja Roy,Male,40,Sales,Sales Manager,B.Com,10,66795,Chennai,2023-02-18,No,4,No
1158,Rahul Verma,Female,30,IT,Developer,B.Com,1,70371,Noida,2023-09-08,No,2,No
1159,Vikas Mehta,Male,27,IT,QA Engineer,M.Com,0,65139,Delhi,2022-09-29,No,4,No
1160,Mohit Yadav,Female,32,Operations,Supervisor,MBA,4,50397,Ahmedabad,2022-06-05,No,5,No
1161,Mohit Patel,Female,38,Marketing,Marketing Executive,B.Tech,10,73804,Bengaluru,2017-10-06,Yes,3,No
1162,Rohan Singh,Female,33,Operations,Supervisor,M.Com,6,57194,Lucknow,2023-12-02,No,4,No
1163,Priya Verma,Female,29,IT,QA Engineer,B.Tech,9,87212,Kolkata,2017-11-16,Yes,1,Yes
1164,Arjun Verma,Male,30,Operations,Operations Executive,Graduate,8,58789,Jaipur,2015-07-27,Yes,5,No
1165,Anjali Verma,Female,36,Sales,Sales Manager,B.Tech,15,79752,Bengaluru,2022-04-28,Yes,1,No
1166,Vikas Kumar,Male,22,Operations,Operations Executive,M.Com,1,48906,Ahmedabad,2015-06-02,No,2,No
1167,Anjali Mehta,Female,29,IT,QA Engineer,M.Com,9,82651,Mumbai,2018-10-04,Yes,3,No
1168,Kiran Kumar,Female,38,Marketing,Marketing Executive,B.Tech,14,81159,Bengaluru,2022-04-09,No,1,Yes
1169,Rahul Kumar,Male,28,Marketing,SEO Specialist,B.Tech,6,64643,Pune,2022-07-04,Yes,4,No
1170,Rohan Gupta,Male,34,HR,HR Executive,Graduate,8,58858,Noida,2018-05-21,No,4,No
1171,Kiran Singh,Female,31,Finance,Financial Analyst,B.Tech,9,79142,Chennai,2023-08-20,No,5,No
1172,Kiran Mehta,Female,29,IT,Analyst,B.Com,7,85334,Pune,2019-03-11,No,2,Yes
1173,Amit Mehta,Male,40,IT,QA Engineer,MBA,19,116109,Chennai,2021-04-29,Yes,4,No
1174,Kiran Joshi,Male,26,Marketing,SEO Specialist,Graduate,4,58375,Kolkata,2022-08-18,No,5,No
1175,Mohit Roy,Male,28,Finance,Financial Analyst,Graduate,1,54661,Jaipur,2021-04-28,No,5,No
1176,Mohit Sharma,Male,23,Sales,Sales Executive,M.Com,0,49475,Delhi,2018-11-12,No,1,Yes
1177,Vikas Singh,Female,35,Sales,Sales Executive,B.Tech,13,74718,Noida,2020-01-12,No,4,No
1178,Anjali Mehta,Female,43,IT,Analyst,B.Com,17,111164,Jaipur,2015-04-04,Yes,2,No
1179,Amit Yadav,Male,34,IT,QA Engineer,Graduate,7,83171,Pune,2023-02-17,No,2,Yes
1180,Priya Sharma,Male,23,IT,Analyst,M.Com,2,74731,Pune,2022-07-15,No,1,Yes
1181,Pooja Joshi,Female,26,Marketing,SEO Specialist,MBA,6,60295,Bengaluru,2023-03-16,Yes,5,No
1182,Arjun Yadav,Male,39,IT,QA Engineer,M.Com,16,106775,Delhi,2021-08-20,No,3,No
1183,Vikas Kumar,Female,50,Sales,Sales Manager,MBA,20,96244,Pune,2016-09-03,Yes,5,No
1184,Vikas Verma,Male,31,Sales,Sales Manager,MBA,4,50944,Lucknow,2019-09-03,No,5,No
1185,Vikas Joshi,Female,29,Operations,Operations Executive,Graduate,2,48079,Pune,2015-07-31,No,1,No
1186,Nisha Verma,Male,40,Marketing,Marketing Executive,M.Com,17,93354,Pune,2015-03-04,No,2,No
1187,Rohan Patel,Female,42,Operations,Supervisor,B.Com,19,90998,Ahmedabad,2020-12-25,Yes,2,No
1188,Pooja Verma,Male,30,Finance,Accountant,Graduate,3,62746,Bengaluru,2019-08-23,No,2,Yes
1189,Anjali Mehta,Male,47,Marketing,SEO Specialist,B.Tech,18,94841,Ahmedabad,2019-04-05,Yes,3,No
1190,Rahul Mehta,Female,47,Operations,Operations Executive,B.Com,20,94550,Delhi,2021-02-16,Yes,2,No
1191,Amit Verma,Male,21,HR,Recruiter,B.Tech,1,44256,Delhi,2022-12-06,No,2,No
1192,Amit Mehta,Male,50,Marketing,SEO Specialist,B.Com,20,100916,Bengaluru,2019-08-12,No,4,Yes
1193,Priya Joshi,Male,46,HR,Recruiter,B.Tech,16,82054,Bengaluru,2016-09-01,Yes,2,Yes
1194,Rohan Singh,Male,27,Finance,Accountant,Graduate,2,61652,Jaipur,2022-10-26,No,4,No
1195,Arjun Gupta,Female,40,Finance,Accountant,B.Com,12,87798,Delhi,2024-06-24,Yes,1,No
1196,Rahul Gupta,Male,35,IT,Developer,MBA,6,82790,Chennai,2018-02-22,Yes,3,Yes
1197,Vikas Kumar,Female,33,IT,QA Engineer,Graduate,12,94903,Kolkata,2022-08-05,No,2,No
1198,Sonia Gupta,Female,31,Operations,Operations Executive,B.Tech,11,66100,Ahmedabad,2021-10-14,Yes,4,No
1199,Neha Joshi,Female,32,Finance,Financial Analyst,MBA,7,76560,Noida,2022-05-30,No,4,No
1200,Anjali Gupta,Female,30,HR,Recruiter,Graduate,8,61225,Mumbai,2015-01-22,Yes,2,No
1201,Amit Singh,Male,31,HR,Recruiter,B.Com,5,54853,Noida,2019-07-30,No,5,No
1202,Pooja Mehta,Male,44,Marketing,Marketing Executive,M.Com,19,96811,Mumbai,2015-12-13,Yes,1,Yes
1203,Rohan Roy,Female,32,IT,Developer,B.Tech,8,84397,Bengaluru,2018-02-04,Yes,4,No
1204,Vikas Gupta,Male,47,IT,QA Engineer,M.Com,20,119728,Lucknow,2018-06-01,Yes,5,No
1205,Anjali Gupta,Male,36,Finance,Accountant,M.Com,10,84738,Lucknow,2022-10-18,No,2,Yes
1206,Sneha Singh,Female,47,Sales,Sales Executive,B.Com,20,99435,Kolkata,2023-10-24,Yes,2,Yes
1207,Deepak Yadav,Male,37,IT,QA Engineer,M.Com,17,110063,Mumbai,2022-10-08,Yes,2,Yes
1208,Pooja Yadav,Female,32,Operations,Supervisor,B.Com,9,63639,Delhi,2021-09-15,Yes,2,No
1209,Pooja Yadav,Male,46,Sales,Sales Manager,M.Com,17,83892,Noida,2022-04-04,Yes,1,No
1210,Anjali Gupta,Male,27,HR,Recruiter,M.Com,3,46137,Chennai,2021-04-04,No,5,No
1211,Deepak Kumar,Male,38,Operations,Supervisor,B.Tech,16,82651,Lucknow,2015-12-18,Yes,1,Yes
1212,Sneha Singh,Female,34,Finance,Financial Analyst,Graduate,6,72912,Noida,2022-10-24,Yes,3,No
1213,Sneha Mehta,Male,40,HR,Recruiter,M.Com,10,61791,Pune,2021-03-10,No,2,No
1214,Anjali Joshi,Male,42,Finance,Financial Analyst,M.Com,20,103053,Delhi,2024-11-26,No,4,No
1215,Priya Roy,Female,29,Operations,Operations Executive,B.Tech,6,56560,Ahmedabad,2019-02-07,No,1,No
1216,Deepak Roy,Female,45,Marketing,Marketing Executive,B.Tech,20,102780,Chennai,2018-11-26,No,4,No
1217,Rahul Gupta,Male,32,Marketing,Marketing Executive,B.Com,2,50194,Jaipur,2018-06-04,No,3,No
1218,Mohit Kumar,Male,41,Finance,Financial Analyst,B.Tech,19,106917,Mumbai,2021-01-10,No,4,No
1219,Mohit Mehta,Female,37,IT,QA Engineer,M.Com,10,85878,Jaipur,2017-03-10,No,3,No
1220,Rohan Sharma,Male,41,Operations,Supervisor,MBA,15,81772,Kolkata,2023-12-04,No,4,No
1221,Rohan Mehta,Male,32,Sales,Sales Manager,B.Com,5,61767,Delhi,2016-04-08,No,4,No
1222,Rohan Sharma,Male,42,Operations,Supervisor,B.Tech,14,75580,Lucknow,2023-06-05,No,4,No
1223,Rahul Joshi,Female,35,HR,HR Executive,MBA,14,73882,Pune,2022-12-21,Yes,2,No
1224,Rohan Joshi,Female,43,HR,Recruiter,B.Com,18,88720,Noida,2022-11-23,Yes,3,No
1225,Sonia Yadav,Male,33,IT,Analyst,MBA,13,97043,Chennai,2018-08-12,Yes,2,No
1226,Vikas Mehta,Male,38,Operations,Supervisor,B.Tech,8,63786,Ahmedabad,2024-11-13,No,4,No
1227,Sonia Mehta,Male,39,Finance,Financial Analyst,MBA,10,75040,Jaipur,2019-01-07,No,1,No
1228,Sonia Gupta,Female,39,IT,QA Engineer,Graduate,15,102789,Delhi,2021-05-07,No,3,No
1229,Kiran Kumar,Male,47,HR,Recruiter,MBA,20,85266,Bengaluru,2019-10-19,No,1,No
1230,Vikas Patel,Male,45,HR,HR Executive,M.Com,20,89102,Noida,2016-11-08,No,1,Yes
1231,Mohit Roy,Male,23,Operations,Operations Executive,Graduate,3,47996,Lucknow,2021-08-28,No,4,Yes
1232,Neha Gupta,Male,35,HR,Recruiter,B.Tech,13,75326,Mumbai,2024-01-15,Yes,1,Yes
1233,Anjali Gupta,Male,34,Finance,Accountant,MBA,4,62340,Jaipur,2022-04-16,No,1,Yes
1234,Sneha Yadav,Female,37,Marketing,SEO Specialist,MBA,14,79420,Pune,2023-03-10,Yes,1,Yes
1235,Deepak Patel,Male,41,Sales,Sales Executive,B.Com,20,94065,Chennai,2018-03-13,No,5,No
1236,Priya Roy,Male,32,Marketing,Marketing Executive,B.Com,6,62842,Delhi,2019-04-30,Yes,1,No
1237,Sonia Singh,Female,32,Sales,Sales Executive,B.Com,10,71337,Noida,2016-12-08,No,5,No
1238,Vikas Yadav,Female,31,HR,HR Executive,B.Com,8,55652,Kolkata,2022-12-28,Yes,1,No
1239,Mohit Gupta,Male,28,Marketing,SEO Specialist,B.Com,4,54369,Noida,2017-04-12,No,3,Yes
1240,Rohan Kumar,Male,36,Sales,Sales Executive,Graduate,13,73448,Mumbai,2020-02-01,Yes,2,Yes
1241,Rahul Gupta,Female,22,Operations,Operations Executive,B.Tech,0,45133,Noida,2023-10-13,No,3,No
1242,Anjali Roy,Male,36,HR,Recruiter,Graduate,10,64456,Ahmedabad,2021-06-19,No,5,Yes
1243,Priya Mehta,Male,30,Marketing,Marketing Executive,Graduate,5,58077,Delhi,2021-06-08,No,3,No
1244,Mohit Yadav,Male,28,IT,Developer,B.Tech,1,68463,Pune,2017-01-03,No,4,No
